interview_id,interviewee,paragraph_num,text,compound,positive,negative,neutral,sentiment
ALEX-011,Alex,11,"So, I try to be as educational as possible. I’ll break down how to read product labels, what certain terms actually mean, and give them tips on spotting marketing fluff. I did a whole series on understanding supplement labels because I think it's crucial for people to know what they’re putting into their bodies. It’s all about giving them the tools to make smart choices. At the end of the day, it’s all about trust. I want my followers to know that when I’m recommending something, it’s because I genuinely believe in it and have done my due diligence. It’s not just about selling products—it’s about supporting and educating my community.",0.9136,0.123,0.0,0.877,positive
BEN-001,Ben,1,"﻿I’ve turned down several sponsorship opportunities for products or services that I didn’t personally use or believe in. For instance, I was approached by a company to promote a financial product that I felt didn’t offer genuine value to my followers. I chose not to endorse it, as I wanted to ensure that my recommendations were based on real experiences and beneficial to my audience.",0.879,0.177,0.026,0.797,positive
BEN-002,Ben,2,"I make it a priority to disclose any potential conflicts of interest. For example, if I discuss a product that I have a financial stake in, I clearly mention this to my audience. This transparency helps avoid any perception of bias and maintains the integrity of my recommendations.",0.6908,0.188,0.107,0.706,positive
BEN-003,Ben,3,"Unfortunately, this ethical principle seems to be lacking in today's landscape. Many influencers fail to uphold their promises when selling products or services, both directly and indirectly. As a result, many people are understandably frustrated.",-0.5267,0.131,0.206,0.664,negative
BEN-004,Ben,4,"For my own products and courses, I ensure that users have access to reliable technical assistance and support. It’s also crucial to meet their expectations by delivering on the promises made. This means providing clear, actionable content and being responsive to any issues or questions that arise. By doing so, I uphold the integrity of my offerings and ensure that my audience receives the value they were promised.",0.9643,0.281,0.0,0.719,positive
BEN-005,Ben,5,"I also don’t have an issue with coming forward and rectifying things when necessary. There have definitely been times when I needed to clarify or correct information I shared. In the investment space, it’s crucial to provide accurate and reliable advice, and sometimes things change or I realize I didn’t present something clearly enough.",0.7783,0.133,0.0,0.867,positive
BEN-006,Ben,6,"For instance, there was a time I recommended a particular investment strategy, but after doing further research, I realized it wasn’t as effective as I initially thought. I made it a point to address this with my followers, explaining my updated perspective and the reasoning behind it. Transparency is key in building trust with my audience, especially in a field where people are making financial decisions based on my insights.",0.875,0.13,0.0,0.87,positive
BEN-007,Ben,7,"I believe it’s important for influencers to be accountable and show that we’re all learning and growing. Admitting when we’re wrong not only helps to maintain credibility but also fosters a more honest dialogue within the community. Ultimately, I want my followers to feel confident in their investment choices, and being upfront about any missteps is part of that commitment.",0.9209,0.232,0.05,0.718,positive
GINA-001,Gina,1,"﻿Yeah, that is a very good question! The biggest thing is honesty and transparency. For instance, I always make sure to let my followers know when a post is sponsored or if I’ve received a product for free. It’s all about being upfront so people know what’s genuine and what’s part of a partnership.",0.9059,0.197,0.0,0.803,positive
GINA-002,Gina,2,"There was a time I worked with a brand on a home decor line. I was excited about it, but I made it clear that it was a sponsored post. My followers appreciated the transparency and it helped maintain their trust.",0.9325,0.275,0.0,0.725,positive
GINA-003,Gina,3,"Authenticity is also key for me. I only promote products that I genuinely like and would use myself. For example, if I’m recommending a specific brand of paint, it’s because I’ve used it and seen real results. If it’s not something I’d use or recommend to a friend, it doesn’t make it to my feed.",0.8689,0.175,0.0,0.825,positive
GINA-004,Gina,4,"I once had an opportunity to promote a product that didn’t quite fit with my usual style or content. I decided to pass on it because it wouldn’t have felt right or genuine. My followers would’ve seen through it, and I didn’t want to risk their trust.",0.8655,0.229,0.038,0.734,positive
GINA-005,Gina,5,"Being responsible to my audience means making sure the content I put out is accurate and useful. Like when I reviewed a new cleaning product, I shared both the pros and cons because it didn’t work as well as advertised. My followers valued that honest feedback.",0.9565,0.353,0.0,0.647,positive
GINA-006,Gina,6,"I also make sure to respect privacy and handle data carefully. I’m cautious about sharing personal information and choose tools and platforms that manage user data responsibly. If a tool has questionable privacy practices, I avoid using it.",0.5994,0.209,0.125,0.667,positive
GINA-007,Gina,7,"A good example is when I was choosing a new platform for managing my email list. I found one that seemed great, but when I read their privacy policy, I realized they had some practices that didn’t sit right with me.",0.5423,0.103,0.0,0.897,positive
GINA-008,Gina,8,They were collecting more data than necessary and didn’t provide clear options for opting out. I decided to go with a different platform that had stronger privacy controls and more transparent policies.,0.6369,0.148,0.0,0.852,positive
GINA-009,Gina,9,"It’s important to me that my followers’ data is protected and handled responsibly. I don’t want to be associated with any service that doesn’t prioritize data security. So, I always do my homework and choose tools that align with my values with respect to privacy.",0.9042,0.267,0.0,0.733,positive
GINA-010,Gina,10,"So, you know, keeping everything transparent and genuine is crucial for building my digital community and maintaining trust with my viewers.",0.5106,0.142,0.0,0.858,positive
LIND-001,Linda,1,"﻿Trust and reliability are crucial across all niches, and they’re especially important in the influencer world. We owe it to our audiences to be respectful and genuine in all our interactions. I recommend only those products that I truly believe will benefit my followers. It’s not about following the latest trend or pushing high-paying deals. For me, it’s about aligning with products that genuinely offer value to my audience.",0.9312,0.201,0.0,0.799,positive
LIND-002,Linda,2,"For instance, I once collaborated with a skincare brand that I was excited about. Although I loved the brand overall, I found that one of their new products didn’t perform as well for me as their other items. I chose to share an honest review, highlighting both the pros and cons of the product. This balanced feedback was well-received and reinforced my commitment to honest and ethical influencing. My audience appreciates this transparency, and it helps maintain the trust we’ve built.",0.9839,0.316,0.0,0.684,positive
LIND-003,Linda,3,"My team and I are also very selective about the brands we partner with. We prioritize brands that uphold ethical practices, including those that do not test on animals. It’s important to us to support companies whose values align with ours and our audience’s.",0.8591,0.208,0.0,0.792,positive
LIND-004,Linda,4,"We also consider the logistical aspects of working with a brand. We partner only with reputable companies known for timely product delivery, excellent condition upon arrival, and straightforward return policies. Good customer support is a must as well. These factors contribute to a positive experience for both me and my followers, ensuring that any recommendations I make are backed by reliable and supportive brands.",0.9545,0.267,0.0,0.733,positive
LIND-005,Linda,5,"Lastly, I truly believe it’s our responsibility as content creators to break the cycle of suffering that ordinary women, have endured for far too long. I’m fortunate to be in the beauty industry at a time when society is beginning to recognize and celebrate the idea that beauty is not one-dimensional but incredibly diverse.",0.7906,0.181,0.034,0.786,positive
LIND-006,Linda,6,"It’s essential that our content authentically reflects this diversity. This means featuring products that cater to all skin tones, types, and unique concerns, ensuring that everyone feels represented and valued. I’ve made it a priority to collaborate with brands that champion inclusivity and showcase diverse models in their campaigns, rather than perpetuating narrow beauty standards.",0.9136,0.199,0.0,0.801,positive
LIND-007,Linda,7,"In my own content, I strive to highlight various skin types and concerns, creating space for dialogue around issues that affect different communities. I regularly invite guests from diverse backgrounds to share their experiences and insights, enriching the conversation and providing a platform for voices that often go unheard. This way, we can create a more inclusive beauty narrative that empowers everyone to embrace their individuality and feel confident in their skin. By doing so, we not only uplift our audience but also contribute to a more equitable industry where all forms of beauty are celebrated.",0.9652,0.22,0.0,0.78,positive
LIND-008,Linda,8,"I recognize the vital connection between beauty and mental health. So, promoting realistic portrayals of life is important, showing that it’s okay to have bad skin days or struggle with self-acceptance. I aim to spread positive messaging, encouraging self-love and reminding my followers that beauty comes in many forms. I often share content with tips on practicing self-love, like setting aside time for self-care and being mindful of negative self-talk. The feedback I received has been overwhelmingly positive; many followers expressed gratitude for the honesty and felt encouraged to share their own experiences. By promoting this realistic portrayal of life, I hope to create a space where everyone feels validated and empowered, knowing that their worth isn’t defined by societal standards.",0.9897,0.333,0.068,0.6,positive
MARG-001,Margot,1,﻿Being responsible in the digital influencer space means being mindful of the broader impact of consumerism and its effect on the planet. We need to strike a balance between sharing exciting finds and promoting thoughtful consumption. It’s about encouraging our followers to make choices that are both stylish and sustainable. My mission as a digital influencer is to offer possibilities without driving impulsive shopping.,0.936,0.223,0.02,0.757,positive
MARG-002,Margot,2,"I find that my work, and the work of many other influencers who inspire me, takes a different approach from the mainstream. While some influencers focus heavily on driving sales and exploiting the platform, I aim to do something different. It’s everywhere you look—sometimes in your face, sometimes more subtly—but I don’t agree with it.",0.5106,0.101,0.047,0.851,positive
MARG-003,Margot,3,"For me, it’s crucial to consider the broader careless and fast consumption. Balancing the excitement of discovering new finds with promoting responsible practices and supporting environmental sustainability is key.",0.8126,0.291,0.067,0.642,positive
MARG-004,Margot,4,"When I endorse a company or brand, it’s because I genuinely believe in its mission. If a product or service doesn’t align with my focus on slow fashion and conscious consumption, I won’t promote it just to make a sale. My followers appreciate my honest opinions because they know I’m not just pushing products for the sake of it.",0.872,0.165,0.0,0.835,positive
MARG-005,Margot,5,"A recent example of this is my collaboration with a fantastic service that focuses on recycling and repurposing old clothing. They offer a program where you can send in your unwanted clothes, and they either upcycle them into new items or ensure they’re recycled properly. I featured their service in a series of posts, showing how the process works and highlighting its positive environmental impact.",0.836,0.135,0.026,0.839,positive
MARG-006,Margot,6,The feedback from my followers was incredibly positive. Many were excited to discover a practical way to responsibly dispose of their old clothes and appreciated the transparency and environmental impact of the service. It sparked conversations about sustainable fashion and encouraged people to think more about their own recycling practices.,0.902,0.208,0.0,0.792,positive
MARG-007,Margot,7,Collaborating with a service like this supports a brand doing good for the environment and empowers my audience to make more sustainable choices. It’s about promoting responsible consumption and inspiring actions that benefit both style and the planet.,0.9507,0.378,0.0,0.622,positive
OTTO-001,Otto,1,"﻿Oh man, ethics in the digital world? It really feels like the Wild West out there! (laughs) When folks buy followers or get obsessed with vanity metrics, they totally miss out on those genuine connections. Authentic engagement isn’t just a quick win—it takes time and effort. It’s all about being present, responding to comments, and really listening to what your followers are saying.",0.6982,0.129,0.077,0.794,positive
OTTO-002,Otto,2,"Creating a space where people feel valued and heard is what matters most, not just seeing them as another number on a page. Unfortunately, some people lose sight of that and end up with their priorities all mixed up. It’s a shame because real connections are where the magic happens!",-0.4574,0.127,0.144,0.729,negative
OTTO-003,Otto,3,"I should acknowledge that the social media landscape has definitely seen some more rigid regulations. We have had some post and content labeling regulations in place for a couple of years now, and while we see inconsistencies across profiles and niches, still, whenever I promote a product or a service, I always make sure to label it as sponsored clearly. My followers need to know when I’m getting paid to push something. Nobody likes feeling like they’ve been duped, right?",0.8887,0.184,0.05,0.766,positive
OTTO-004,Otto,4,"We know this is how social media marketing works. For example, if I post a clip of me enjoying a cocktail at a swanky resort in Bali, you bet there’s going to be a spike in bookings and people wanting to try that same drink. It’s a direct line from my experience to their actions.",0.5267,0.059,0.0,0.941,positive
OTTO-005,Otto,5,"Back to ethics, though—I always tag my posts as sponsored and share a bit about how the partnership came about. Transparency is key to keeping that genuine connection with my audience. But it's not just on me. Brands also have a role here. They need to be upfront and deliver on their promises. I had a situation where a product I endorsed had quality issues shortly after launch. I addressed it openly with my followers and showed that the brand was working to fix the problem. It’s crucial for both sides to be accountable.",0.4497,0.074,0.035,0.891,positive
OTTO-006,Otto,6,"That said, followers also need to be a bit savvy. There’s this tendency to blame influencers if they end up overspending or buying something that doesn’t meet their expectations. But honestly, it’s a two-way street. My followers should think critically and not just buy into everything they see. If they feel a product isn’t worth it or isn’t good quality, that’s not solely on me. They should do their own research, assess their needs, and make informed decisions.",0.8591,0.119,0.02,0.861,positive
OTTO-007,Otto,7,"So, I should say It’s all about trust and transparency. I aim to be honest and genuine with my endorsements, and I expect the brands I work with to do the same. But followers also need to be discerning and responsible in their purchasing decisions. It’s a partnership where everyone has a role to play.",0.8537,0.169,0.0,0.831,positive
